TIMESTAMP	BATTERY	URL
0	0	http://images1.miaminewtimes.com/imager/the-six-people-you-meet-aboard-holy-ship/u/original/6471130/holy_ship_people_you_meet_miami_2014.jpg
5	0	http://static.ddmcdn.com/gif/11-billion-people.jpg
8	0	http://previews.123rf.com/images/andreypopov/andreypopov1309/andreypopov130900314/22381835-Happy-Group-Of-People-Dressed-In-Casual-Standing-Over-White-Background-Stock-Photo.jpg
14	0	http://www.usabuscharter.com/Business_People_Pinnacle_Jpeg.jpg
18	0	http://photoblog.statesman.com/wp-content/uploads/2011/09/cv-acl-022.jpg
22	0	http://www.francisvachon.com/blog/wp-content/photo/2012/07/crowd-surfing-04.jpg
27	0	https://c1.staticflickr.com/9/8318/8002278966_2907d0183c.jpg
30	0	http://www.bob-baker.com/self-publish-book/blog/uploaded_images/FanCrowd-782710.PNG
38	0	http://www.clarity-research.net/wp-content/uploads/2015/03/we-serve.jpg
43	0	http://thumbs.dreamstime.com/z/viele-verschiedenen-menschlichen-gesichter-21328077.jpg
47	0	https://ishootthepictures.files.wordpress.com/2011/06/vincent2bprice-1.jpg
51	0	http://thumbs.dreamstime.com/z/lots-faces-17959298.jpg
55	0	http://static.tumblr.com/93e033ed5b263d7e74512f58c3699318/9bfmqds/7Ppn5b518/tumblr_static_1ivgnnby2hs0888ko8cs88swc.jpg
69	0	http://4.bp.blogspot.com/-XdZBpZZSQt4/Tm9YbUH1fWI/AAAAAAAAGBw/mim26LFXW_I/s1600/Cam%2BGreig%2B055.jpg
72	0	http://www.artbyphil.com/phfx/dib/art00002_LightingInADigitalAge/bigs/LotsOfLights.jpg
78	0	http://imgick.nj.com/home/njo-media/width960/img/star-ledger/photo/2013/08/-20429c7f73b547f3.jpg
89	0	http://www.bucksketball.com/wp-content/uploads/2013/03/photos4.jpg
91	0	http://worldonline.media.clients.ellingtoncms.com/img/croppedphotos/2011/10/14/medianewWEB_t650.jpg?eec9ecda5f66de59a37bbdb23c6f48523261b548
93	0	https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11357296_1656525614576589_1901514389_n.jpg
95	0	http://www.careersusa.com/portals/0/BusinessPeopleImage2.png
97	0	http://www.cpplcounseling.com/uploads/4/6/8/2/46828361/2181364_orig.jpg
101	0	http://captital-connection.com/wp-content/uploads/2014/10/capitalconnectionpeople.jpg
123	0	http://www.tesco.ie/crreview08/images/SML_tesco_people.jpg
