10     3    734
10.5   12   
12     5    530
12.5   1    
14     6    708
14.5   9   
16     28   1220
16.5   5  
18     184  1094
18.5   39
20     1562 762
20.5   357
22     3861 728
22.5   570
24     20098    508
24.5   4030
26     32869    530
26.5   6298
28     38917    411
28.5   10049
