TIMESTAMP	BWDOWNLOAD	BWUPLOAD	LACCID
0	13.243321953854998	1.9380391309570681	40131/4609
5	15.580509630856845	3.1836204232028122	40131/4609
8	10.496492385864258	3.4145708084106445	40131/4609
14	12.450593966201358	3.8164444155093666	40131/4609
18	15.041031990545333	4.164871634269882	40131/4609
22	10.62344833592497	2.791356118466928	40131/4609
27	15.174860364455142	3.1183769845075267	40131/4609
35	13.27495002746582	2.9446146488189697	40131/6145
38	10.02181816895497	3.7142073241092284	40131/6145
43	13.855963706970215	3.5398396510210897	40131/6145
47	28.053682327270508	3.7807304859161377	40131/6145
51	14.589653968811035	3.379788637161255	40131/6145
55	30.068788528442383	1.8587690591812134	40131/6145
69	14.393374786416905	3.382079071057256	40131/6145
72	13.098236083984375	3.26950740814209	40131/6145
89	16.8006230529595	3.5593700408935547	40131/6146
91	21.469955444335938	3.6531505584716797	40131/6146
93	13.353381156921387	3.846842288970947	40131/6146
95	22.620576858520508	3.0639421939849854	40131/6146
97	11.933836936950684	2.7164158821105957	40131/6146
101	10.963862419128418	3.585601329803467	40131/6146
123	17.670780181884766	3.6308066844940186	40131/2562
132	12.036045561244668	3.4324062245265536	40131/2562
136	8.493367195129395	2.536691904067993	40131/2562
138	10.929272651672363	3.1868300437927246	40131/2562
143	11.709680557250977	3.4529037475585938	40131/2562
145	13.87640380859375	3.3907575607299805	40131/2562
148	16.858243942260742	3.596083879470825	40131/2562
151	12.74421215057373	2.2685132026672363	40131/2562
153	18.202896118164062	3.047642230987549	40131/2562
286	14.550437927246094	3.514169931411743	40031/4353
288	14.836638450622559	2.5132408603276266	40031/4353
290	8.268306732177734	2.804368495941162	40031/4353
292	10.729913711547852	3.167048454284668	40031/4353
295	9.005764961242676	2.2963058327005768	40031/4353
297	12.502178192138672	3.261584758758545	40031/4353
299	18.433744430541992	3.5293726921081543	40031/4353
302	11.854034423828125	3.3633179664611816	40031/4352
304	14.396088600158691	3.833024024963379	40031/4352
306	25.865245819091797	2.916542121785938	40031/4352
308	14.396440505981444	3.418199062347412	40031/4352
312	17.92440859583605	3.1614553928375244	40031/4352
314	15.488470077514648	3.755800247192383	40031/4352
317	16.942209243774414	3.6847684383392334	40031/4352
320	22.760690689086914	2.8707704544067383	40031/4352
324	18.696630477905273	3.7805699070400998	40031/4352
328	17.876522064208984	2.8984053134918213	40031/4352
342	14.925460316900788	3.6097362833176767	40031/4352
346	12.098382949829102	3.050489902496338	40031/4352
350	14.798959732055664	3.5084586143493652	40031/4352
352	13.354151725769043	3.530594348907471	40031/4352
354	24.873985290527344	3.7515833377838135	40031/4352
356	17.686431884765625	3.005074262619018	40031/4352
361	16.974021911621094	2.7560911178588867	40031/4352
362	20.08980369567871	2.196932554244995	40031/4352
364	10.255069732666016	2.7805397510528564	40031/4352
366	18.159822463989258	3.4567630290985107	40031/4352
368	9.700417518615723	2.9493296146392822	40031/4352
373	10.902048110961914	3.7024374479298556	40031/4352
379	8.964794158935547	3.771425485610962	40031/4352
388	10.269444465637207	3.7246727943420415	40031/4352
400	7.995866811645094	3.852895285228884	40031/4352
402	13.365493774414062	2.1435606479644775	40031/4354
404	12.323596954345703	2.6588659286499023	40031/4354
406	12.743929862976074	3.315359592437744	40031/4352
409	12.456995010375977	2.8823206424713135	40031/4352
410	14.036957740783691	3.3569739941848615	40031/4354
412	16.512008666992188	3.2952487468719482	40031/4354
415	12.588125228881836	2.8974437713623047	40031/4354
419	10.82841885143974	3.4640149855246563	40031/4354
420	15.396140098571776	2.7934165000915527	40031/4354
425	18.718645095825195	1.9436619281768799	40031/4354
427	15.696109771728516	3.2995760440826416	40031/4354
430	12.528411865234375	2.7538909912109375	40031/4354
433	20.23004722595215	3.179619789123535	40031/4354
437	16.874637603759766	2.9527976512908936	40031/4354
440	29.400550842285156	2.2738332748413086	40031/4354
451	22.1158390045166	3.680406093597412	40031/4354
455	9.332971572875977	3.6715917587280273	40031/4354
459	12.618151664733887	3.6091151237487793	40031/4354
461	15.934788703918455	3.58262300491333	40031/4354
464	15.037288665771484	3.0863876342773438	40031/4354
466	15.066717147827147	3.355262041091919	40031/4354
470	9.194432258605957	2.8424808979034424	40031/4354
472	11.9188871383667	1.9002881050109863	40031/4354
474	7.755557060241699	3.2551534175872803	40031/4354
476	19.447189331054688	3.54063081741333	40031/4354
479	10.645700454711914	2.7895851135253906	40031/4354
483	8.99872875213623	1.512862205505371	40031/4354
489	6.136201858520508	1.6404513120651245	40031/4354
498	6.6665496826171875	3.059124708175659	40031/4354
500	9.70927619934082	1.9540646076202393	40031/4354
535	11.27618408203125	3.021116018295288	40031/4354
536	12.004526138305664	2.3412601947784424	40031/4354
539	10.381125450134277	2.6448285579681396	40031/4354
541	10.007074356079102	2.4907050132751465	40031/4354
544	13.310816764831543	3.4526865482330322	40031/4354
546	12.037796020507812	2.165905714035034	40031/4354
548	17.26657485961914	1.7608407735824585	40031/4354
551	15.441433906555176	2.48713755607605	40031/4354
553	12.212650299072266	3.1651079654693604	40031/4354
555	18.09658432006836	3.0700323581695557	40031/4354
558	19.848968505859375	1.9878857135772705	40031/4354
558	19.848968505859375	2.4895174503326416	40031/4354
559	19.848968505859375	3.0838816165924072	40031/4354
560	19.848968505859375	3.165140151977539	40031/4354
560	19.848968505859375	3.436228036880493	40031/4354
561	19.848968505859375	3.3930370807647705	40031/4354
562	19.848968505859375	3.586491346359253	40031/4354
563	15.25069236755371	3.362553834915161	40031/4354
566	19.74203109741211	2.78558087348938	40031/4354
571	15.85372543334961	2.7398324012756348	40031/4354
575	8.521221160888672	3.372257947921753	40031/4354
578	15.372780799865723	3.2898364067077637	40031/4354
582	10.726280212402344	3.546156406402588	40031/4354
590	27.029600143432617	3.1173670291900635	40031/4354
594	10.419490814208984	3.4110703468322754	40031/4354
597	16.51361846923828	3.5338268280029297	40031/4354
600	12.055665016174316	3.6140825748443604	40031/4354
603	14.902581214904783	3.3946311473846436	40031/1281
604	19.731643676757812	3.4383013248443604	40031/1281
609	11.607498168945312	3.6703238487243657	40031/1281
611	13.39183044433594	3.6802926063537598	40031/1281
612	8.61463737487793	3.633355855941773	40031/1281
614	19.166664123535156	3.4772558212280273	40031/1281
617	9.056646347045898	2.913353443145752	40031/1281
621	10.674622535705566	3.4769480228424072	40031/1281
627	12.712218284606934	3.122873306274414	40031/1281
