TIMESTAMP	UTILITYREMOTE	UTILITYLOCAL
388	1102.680612907786	2255.0
391	1237.5943719130555	866.0
402	1104.1809629472154	1314.0
404	1202.708237992922	2248.1834275270003
406	1277.7475878489902	2364.434211340217
409	927.0197493933035	1323.0
410	1133.1457928456218	2508.4988271874586
412	1242.8087370384821	6642.64257613048
415	1190.2073804064357	1798.5829156514192
418	1445.4765891409475	651.0
420	1425.3865013972172	4177.0
425	959.0122487050327	979.0
427	1276.174623190299	3102.0
430	2098.700048970358	3063.0
433	1573.9523546514133	4981.0
437	1630.8913712919948	2857.0
440	1616.3580747353249	2695.0
451	1367.7160715288035	6990.0
455	2444.044470962785	4574.0
459	1341.7642543306063	1559.0
461	1142.0691211525213	2150.0
464	1031.70176991225	1320.0
466	1865.127639799831	3487.0
470	1224.8689460163241	1243.0
472	1113.9755346114434	2061.0
474	1784.2898624425436	1855.0
476	863.0525633704236	2168.0
479	1954.8972160525464	3931.0
483	2868.1398782641586	15231.0
489	4419.585080365308	6741.0
498	1477.5776629271447	2255.0
500	1293.4285876979484	1489.0
535	1043.8356466439575	1939.4722947989676
536	1108.7403344512659	1314.0
539	1331.9978122738858	2248.1834275270003
541	1533.4046478137438	2364.434211340217
544	860.3622557931386	1323.0
546	1422.8306619114333	2508.4988271874586
548	1454.7517775809972	6642.64257613048
551	1226.8088477519452	1798.5829156514192
553	1337.6853953681111	473.0
555	1239.4385893849699	4177.0
558	2602.7732746221827	8578.0
563	1302.370397328143	3102.0
566	1720.0101653300435	3063.0
571	1678.182301346452	4981.0
575	2216.563451409492	2857.0
578	1604.2753780065916	2695.0
582	2829.689167681996	8578.0
590	1394.222549071823	6990.0
594	2343.7950030835805	4574.0
597	1245.0976305773347	1559.0
600	1339.8822423679867	2150.0
603	1029.9379065842686	1320.0
604	1748.3126108837148	3487.0
609	1007.0693442691561	1243.0
611	840.7867669673071	2061.0
612	1620.5563898569044	1855.0
614	863.6559435086692	2168.0
617	2056.2825044295155	3931.0
621	2431.2176735163466	15231.0
627	3259.9857140438176	6741.0
636	1086.5043517970728	2255.0
639	1355.3105559946976	1489.0
653	1051.133565916035	1939.4722947989676
655	896.1296843138779	1314.0
657	1224.55505550582	2248.1834275270003
659	1351.088884038575	2364.434211340217
662	833.3646756645597	1323.0
664	1196.1825588467145	2508.4988271874586
666	1239.6702663218905	6642.64257613048
669	1098.6665681948105	1798.5829156514192
671	1401.5878838959402	300.0
673	1458.7896577502033	4177.0
676	2533.659535998723	8578.0
683	1433.4116961309683	3102.0
686	2207.69514823178	3063.0
690	1391.463352909172	4981.0
694	1739.3980239807906	2857.0
697	1678.8364782140088	2695.0
701	2716.3395125293996	8578.0
709	1506.5269321209003	6990.0
713	1938.3481779169313	4574.0
717	1211.285040662899	1559.0
719	1113.2899844868734	2150.0
721	1072.9563839497084	1320.0
723	1776.3045324030063	3487.0
728	906.666007042397	1243.0
729	1032.148022485756	2061.0
732	1723.537750979559	1855.0
734	880.6626099348573	2168.0
736	2067.825125604081	3931.0
741	3070.032116608439	15231.0
747	4300.232934641054	6741.0
758	1864.5262631267624	2255.0
760	1015.6383823118385	1489.0
774	1568.0490025996746	1939.4722947989676
776	1019.4682678664421	1314.0
779	1571.3994869043122	2248.1834275270003
781	1691.7781117230024	2364.434211340217
785	1372.3632391303363	1323.0
795	1749.5640750896187	6642.64257613048
799	1159.5377739230598	1798.5829156514192
801	1355.47005914703	318.0
804	1505.5622124189613	4177.0
808	3356.372361927557	8578.0
820	2252.112974264276	3063.0
824	1900.5709911417584	4981.0
828	2411.250264303367	2857.0
832	1800.0815050494803	2695.0
836	3274.6755460511777	8578.0
845	1979.2058953403198	6990.0
849	2557.666019839834	4574.0
853	1223.5407913161614	1559.0
856	1385.2294331236237	2150.0
858	1358.593191785254	1320.0
866	1322.9888530957473	1243.0
871	1806.8308428945247	1855.0
873	903.7132118440547	2168.0
876	2086.9793741598955	3931.0
880	2777.138305834205	15231.0
885	4056.0882166779666	6741.0
895	1581.8051761046702	2255.0
897	1309.8450286346383	1489.0
911	1474.213570600261	2513.15220491448
913	1023.7697622021785	1314.0
915	1540.6834969885363	2227.520121321727
918	1344.011876220068	2364.434211340217
921	1157.7124066006947	8070.0
923	1558.2837877713691	2555.2007102491098
925	1420.8473655653888	6605.051877123973
928	1201.8550520467059	1644.227164661218
931	1352.1080615040596	781.0
934	1499.2259991088706	4177.0
937	2422.8272894486095	8578.0
945	1802.6779397824337	3102.0
948	2185.3455752364575	3063.0
953	1627.0260884070603	4981.0
957	2345.831070345962	2857.0
960	1813.7583355454888	2695.0
964	2806.139514325347	8578.0
972	1938.0743534589076	6990.0
975	2351.684205709398	4574.0
979	1274.232596094737	1559.0
982	1208.1601114962011	2150.0
984	1121.5752628490682	3232.0
987	2219.0368583797813	3487.0
992	1223.1734962280352	2189.0
995	1394.050948619296	2061.0
997	1979.4094943756056	1855.0
1005	2357.404907654703	3931.0
1010	2639.080613574623	15231.0
1015	3936.7413401813733	6741.0
1025	1397.0136690382374	2255.0
1027	1356.7892229556714	1489.0
1040	1010.8921131932333	2538.6478166424677
1042	898.5333079160146	1314.0
1044	1475.265720687958	2060.966928122132
1047	1359.8942368449461	4140.00733184254
1049	869.6436574231095	8070.0
1051	1720.8012102627235	2524.133118826185
1053	1197.0112354348908	6605.051877123973
1056	1226.7739230792167	1627.4128502908663
1058	1300.2844804130023	967.0
1061	1255.4334536628508	4177.0
1063	2371.7748555688836	8578.0
1069	1380.4084287859982	3102.0
1072	2254.322840962843	3063.0
1077	1748.4307772306743	4981.0
1081	2127.7811751932963	2857.0
1084	1552.0433020553141	2695.0
1088	2262.375323277217	8578.0
1095	1435.754488658332	6990.0
1099	1935.2540744280168	4574.0
1103	1293.3266403447706	1559.0
1106	1151.9020140829907	2150.0
1109	1279.0437930263984	3232.0
1111	1942.1068288949712	3487.0
1115	1271.2784180310653	2189.0
1117	1085.0348609634284	2061.0
1120	1833.3817202266582	4860.0
1122	968.8786518251859	2168.0
1125	2068.609095248383	3931.0
1129	2564.3684171521722	15231.0
1136	3893.1174486122472	6741.0
1144	1323.395103254857	2255.0
1147	1368.0788479929174	1489.0
1161	1287.3656986316967	2538.6478166424677
1163	1225.6774497399183	1314.0
1166	1444.9138678333752	2060.966928122132
1168	1527.7872345436244	4140.00733184254
1171	1173.682270193545	8070.0
1173	1634.5813415626255	2524.133118826185
1176	1434.2821982139458	6605.051877123973
1179	1359.6513077289917	1627.4128502908663
1182	1431.2976277499256	287.0
1184	1280.3442216792216	4177.0
1187	2606.0992211231496	8578.0
1196	1590.9970264998071	3102.0
