TIMESTAMP	UTILITYREMOTE	UTILITYLOCAL
0	930.8049881383506	1291.3568220925397
5	771.1623369323361	1307.0987823552466
8	596.1289254443418	1565.498247238539
14	662.9506386377861	1832.016047586153
18	1233.7749548926674	4589.673991373493
22	923.913784365021	2341.744274887372
27	706.8874494536426	2187.9861874002195
30	420.70441065302896	1124.4735446984673
38	742.3454073695143	1940.8823918159505
43	2024.7954910969365	5228.438491266815
47	1488.9521743706166	4053.837350715958
51	1732.0291605767654	3555.2193048384806
55	1572.929599552209	4249.418493810876
69	1050.1373859968594	5045.0
72	2134.7125525712113	8616.532962763305
89	848.1248418177736	1209.3432587150173
91	478.46329179387226	1114.0
93	1233.5852855428789	1905.6722244072566
95	897.6722583054539	2136.004773396565
97	1912.7775420950134	8435.959737767913
101	1173.4549945657545	9861.0
123	997.1149608470085	1472.5677517238576
132	997.8449467627491	1354.9101141320878
136	1475.1046125972948	1703.7230599463512
138	1393.1067420154272	1971.169973281093
143	1306.2393583406308	2091.594391558984
145	1308.1600139462028	4667.843990211031
148	1043.6792160134607	2298.2137280710394
151	880.3031925054073	287.0
153	1210.363543307862	4177.0
286	878.6278975634928	1939.4722947989676
288	1114.8227035385441	1314.0
290	1477.5400021130042	2248.1834275270003
292	1393.653091126939	2364.434211340217
295	1184.864126705465	1323.0
297	1277.1817613068638	2508.4988271874586
299	1329.522167678837	6642.64257613048
302	1177.3913352237355	1798.5829156514192
304	557.6994321140585	651.0
306	884.9193014205964	2038.2095605925028
308	1288.2457040380298	4177.0
312	791.3419010711048	979.0
314	1346.7172140310195	3102.0
317	1765.2961204087164	3063.0
320	1528.48027522547	4981.0
324	1491.2170804762	2857.0
328	1606.8187432567795	2695.0
342	1491.724459421741	6990.0
346	2167.0934347991306	4574.0
350	1504.7376947914624	1559.0
352	1337.78015057551	2150.0
354	784.7806113105495	1320.0
356	1858.2144054947903	3487.0
361	907.8121892555747	1243.0
362	954.9804346840294	2061.0
364	1542.7059144482746	1855.0
366	888.9535040857832	2168.0
368	2015.7624755465586	3931.0
373	4446.9901438736415	15231.0
379	3738.5529889245076	6741.0
